ID_REF	leaf1	leaf2	protoplast1	protoplast2
265445_at	1455.500884	1347.528434	851.9234547	743.5675496
265446_at	516.1512226	544.179953	2490.29338	2525.756771
265447_at	15.74738096	13.9559652	12.75012954	13.9559652
265448_at	21.46047346	22.74456598	13.09341934	13.99995224
265449_at	52.18415812	51.98415337	272.1446755	272.6544705
265450_at	37.18425597	37.27509179	451.3397395	459.7545365
265451_at	118.8073269	115.4944728	583.5085559	551.2679816
265452_at	112.1036934	92.78244761	204.1916413	165.6426065
265453_at	117.721988	121.4905256	145.9944788	145.7043359
265454_at	128.2637783	154.7687081	64.53992517	63.83120597
265455_at	219.7211595	357.6042321	219.7211595	219.7211595
265456_at	387.9804102	525.0459947	665.0781204	731.6095008
265457_at	256.7214441	204.0190418	256.7214441	264.765255
265458_at	206.9990017	163.1856062	259.3937664	330.5787089
265459_at	710.3075451	690.7165588	585.1245743	594.321598
265460_at	2560.837512	2430.436962	1034.057002	959.8133039
265461_at	231.9837595	209.21319	993.8263615	1113.047927
265462_at	8.635082731	8.598291372	7.882919271	8.561004
265463_at	19.36017381	16.8022205	11.331524	15.01112294
265464_at	45.49133917	54.81846401	14.47338028	12.11615471
265465_at	21.1888003	26.30818837	55.6727715	60.32231955
265466_at	29.75912082	31.04781851	68.43156327	65.2533471
265467_at	126.5795032	123.8645897	25.08094844	21.99463874
265468_at	17.82067403	21.70897944	21.95457954	22.99454905
265469_at	74.4149199	66.81869957	38.76277632	41.05824338
265470_at	14.15892667	17.28741197	152.0793014	182.2860059
265471_at	34.62278807	27.45467637	43.05682398	48.35321794
265472_at	778.7465195	784.2120501	293.2546146	301.4782264
265473_at	7.703852066	8.039857884	7.724116906	7.575284122
265474_at	212.2660745	181.5420571	142.6128332	140.6075254
265475_at	1476.432822	1956.961964	2638.495852	2601.990537
265476_at	330.3473588	305.3351773	1113.356572	1128.350839
265477_at	11.120579	12.14061837	9.680489499	10.23245204
265478_at	23.95342416	24.90925555	1134.939753	1114.205788
265479_at	54.3154227	39.92249552	359.8769772	330.0452443
265480_at	815.6803006	1279.176833	181.4804082	158.550652
265481_at	529.1782662	524.6894603	4724.022104	4954.418421
265482_at	17.42020866	15.95570002	87.73253195	84.04674255
265483_at	36.71022368	46.54195799	20.27247039	21.91960659
265484_at	50.14729579	58.71755539	22.2767984	20.51987447
265485_at	17.18704958	18.88920397	17.97437872	18.85571562
265486_at	17.89791963	16.89003017	18.733259	18.01266824
265487_at	7.624908367	8.01215316	8.01215316	8.01215316
265488_at	10.47392301	11.13075848	8.546122519	10.18701874
265489_at	9.926739959	9.712279903	9.926739959	10.01506584
265490_s_at	6.278848489	5.850986948	5.920955455	6.278848489
265491_s_at	8.004936731	8.004936731	8.004936731	8.059889166
265492_at	9.831625755	9.665403757	8.817135311	9.629427314
265493_at	13.66430332	12.88427988	12.68111767	12.89428615
265494_at	79.48661303	57.37419096	19.0552945	19.5287811
265495_at	600.1669231	604.0273227	703.7406309	737.1835153
265496_at	7.033291441	7.477209729	7.033291441	7.003907353
265497_at	11.90619068	11.55607847	10.20482827	9.710731658
265498_at	9.722720172	8.251120212	8.732229212	9.242543958
265499_at	10.38867676	12.39606225	2629.914168	2863.373196
265500_at	13.80740217	13.50751145	14.82037451	13.80740217
265501_at	12.24804854	12.23269181	2144.610594	2297.262496
265502_at	21.75492292	19.43600765	21.75492292	21.75492292
265503_at	14.52322554	13.72476936	16.97782801	17.58715234
265504_at	13.28752039	15.51326016	14.14872356	13.28752039
265505_at	91.98775986	113.0792179	88.51131553	90.05971456
265506_at	12.17381971	12.17381971	12.17381971	12.17381971
265507_s_at	10.07738909	10.14741254	10.39869081	10.54728665
265508_at	17.600201	17.81993291	22.62177142	21.99463874
265509_at	12.40826932	10.9538035	9.185383776	12.35249015
265510_at	69.23933675	63.49143147	382.3526333	352.0508462
265511_at	92.54159118	75.85750415	93.4368673	95.76987409
265512_at	227.6794071	171.5612592	267.248863	290.4387221
265513_at	8.798270761	9.584279626	8.968396113	8.968396113
265514_s_at	8.16645528	8.9580207	8.9580207	8.952868524
265515_at	7.964755086	8.486384232	9.161031183	8.486384232
265516_at	8.506525607	7.945180526	7.880406221	8.193444022
265517_at	8.913981705	8.958952133	9.494025995	8.913981705
265518_at	12.15451145	13.30327918	14.51165341	17.41031017
265519_at	13.83691099	15.46644797	17.8588837	15.46644797
265520_at	8.868069028	8.775370269	8.567830862	8.2158509
265521_at	45.41698402	49.12992052	44.86255868	42.47229023
265522_at	66.8043434	66.93134033	63.05242707	63.05242707
265523_at	20.35582798	19.53446718	16.18437782	17.74068733
265524_at	14.41121432	12.3905644	14.5797088	14.12334584
265525_at	13.46591166	12.68533751	11.92956887	12.17727988
265526_x_at	10.19796934	10.91424175	10.72770823	11.02013506
265527_at	6.724280933	8.087198372	6.912655361	8.040972523
265528_at	8.918246029	9.926739959	10.47733575	8.68508519
265529_at	12.79554773	15.99833653	11.65809372	12.04431133
265530_at	74.98811223	81.741114	998.0788602	1025.491629
265531_at	11.32021929	12.1412916	9.078852733	12.82049446
