	GSM388810	GSM388811	GSM388812	GSM388813	GSM388814	GSM388815	GSM388816
251491_at	4.02063	4.02483	4.00432	4.0208	4.11819	3.99973	4.02063
251492_at	10.2093	8.31527	10.191	8.76404	10.2079	8.6521	10.238
251493_at	8.66194	8.98348	8.68883	8.34104	8.41511	8.81194	8.49016
251494_at	9.37521	4.48065	9.79025	4.54379	9.50548	4.72292	9.75953
251495_at	10.1484	9.641	10.0028	9.62657	9.82583	9.45243	9.88335
251496_at	7.52238	8.68543	7.13955	9.05241	7.3982	8.79312	7.36016
251497_at	6.66726	11.1392	6.32249	10.6097	6.84773	10.8227	6.55242
251498_at	3.57138	3.57138	3.63117	3.57138	3.57138	3.48888	3.57138
251499_at	5.01329	4.86753	5.4551	4.76056	4.71901	4.72987	5.12276
251500_at	5.61447	7.53223	5.84695	7.21524	5.40232	7.51047	6.01512
251501_at	3.63117	3.85794	3.63117	3.62754	3.63117	3.63117	3.49401
251502_at	3.56472	3.31933	3.19087	3.22603	3.15711	3.22603	3.20888
251503_at	9.33445	7.41313	9.37747	7.21673	9.02767	7.6604	9.15524
251504_at	4.89475	4.91438	4.93622	4.68042	4.77036	4.77378	4.38109
251505_at	7.49911	7.46399	7.19399	7.30284	7.40484	7.83925	7.1326
251506_at	6.95805	7.92152	7.12038	7.64317	6.7607	7.60936	6.84611
251507_at	7.61849	3.86907	7.7365	3.97705	7.66932	3.84466	7.73495
251508_at	6.89806	7.62653	7.175	7.42189	6.96092	7.58859	7.09282
251509_at	4.07516	5.93296	3.72204	5.81044	3.71195	6.17823	3.52003
251510_at	3.00379	3.09049	3.26981	3.16696	3.26641	3.33508	3.14094
251511_at	2.89572	3.13346	2.84983	2.97141	3.04263	2.97141	2.97141
251512_at	3.92039	3.75594	3.75933	3.59169	3.75933	3.75933	3.60084
251513_at	7.20293	4.9279	6.7114	5.07449	7.32651	5.2668	6.75937
251514_at	3.80721	3.69743	3.83012	3.80721	3.82939	3.89242	3.80721
251515_at	3.2636	3.19422	3.38232	3.12066	3.26745	3.29196	3.26164
251516_s_at	4.81915	8.33567	5.58859	7.77634	4.87316	8.28878	5.93503
251517_at	2.93627	3.28205	2.94265	2.89078	2.94265	2.97843	2.94265
251518_at	4.55963	4.76779	4.57443	5.17623	4.55982	5.46305	4.49097
251519_at	4.28248	11.8622	5.06707	11.8984	4.5161	11.7331	5.42691
251520_at	8.14889	7.53055	8.07088	6.97099	7.75379	7.40435	8.0623
251521_at	4.19568	4.63197	3.99839	5.28974	3.76947	4.73926	3.71077
251522_at	4.61604	4.51483	4.51483	4.23338	4.51483	4.51483	4.51483
251523_at	4.31592	4.75492	4.06737	4.38545	3.93965	4.94491	4.00566
251524_at	4.48073	10.8653	4.2156	10.4955	4.32016	10.4942	4.17336
251525_at	5.00396	6.61497	5.40849	6.24492	5.10252	6.67899	5.52513
251526_at	6.86772	8.19183	7.18195	8.38268	6.94461	8.50317	7.25101
251527_at	3.8553	3.85787	3.76703	3.89986	3.74613	3.92476	3.8553
251528_at	7.55439	7.27288	7.72261	7.00711	7.31539	7.32219	7.58237
251529_at	8.2304	5.83197	8.28359	5.74466	8.03528	5.91972	8.19406
251530_at	3.56082	3.58652	3.68272	3.58652	3.58652	3.52308	3.78537
251531_at	3.6244	3.75639	3.55938	3.55938	3.59153	3.4544	3.49265
251532_at	5.82689	5.82689	6.08664	5.61472	5.85992	5.74549	5.82689
251533_at	7.7707	7.73975	7.8802	7.71854	7.70524	7.79888	7.7707
251534_at	9.53901	8.53946	9.69134	8.58986	9.47937	8.92237	9.57992
251535_at	3.42151	3.06349	3.46501	3.11932	3.60417	3.42151	3.63188
251536_at	11.0712	11.5835	11.0913	11.7906	10.9637	11.7285	11.0013
251537_at	6.94712	7.50332	6.68668	7.7718	6.84145	7.55653	6.8864
251538_at	7.00306	5.77559	6.71068	6.15409	7.10756	6.1396	6.84283
251539_at	4.67514	6.51884	4.9539	6.64232	4.67659	6.76469	5.08284
251540_at	5.46663	4.65123	5.35136	4.66732	5.36514	5.17651	5.20421
251541_at	11.4353	7.38799	11.2353	7.09935	11.3569	7.21673	11.2398
251542_at	7.67899	6.63692	7.58641	6.19378	7.47449	6.70155	7.50127
251543_at	4.51944	3.80225	4.46884	3.71526	4.39931	3.76649	4.19637
251544_at	4.92748	5.51636	4.78728	5.0723	4.79245	5.33177	4.64852
251545_at	6.00058	3.70689	5.46058	3.85458	6.22155	3.72742	5.72348
251546_at	6.43345	8.58891	6.69016	8.84685	6.72452	8.40588	6.95836
251547_at	3.91202	4.06278	4.07102	3.91202	3.91202	3.94091	3.731
251548_at	4.169	3.79954	3.94317	3.87418	3.76947	3.80999	3.80999
251549_at	4.54046	4.04159	4.0117	4.04159	4.00118	4.04159	4.28742
251550_at	4.23934	4.55895	4.12457	4.93929	4.13513	4.6418	3.9225
251551_at	10.7339	8.95885	10.688	9.06978	10.5443	8.94634	10.5805
251552_at	8.81825	9.20055	8.68674	9.90472	8.95498	9.33754	8.6985
251553_at	6.62731	5.17691	5.92601	5.19209	6.16356	4.99303	5.83964
251554_at	8.65459	7.13128	8.06436	6.97753	8.20634	6.69882	7.94733
251555_at	3.67873	3.31696	3.56219	3.2997	3.63352	3.35708	3.40373
251556_at	4.68515	6.23515	4.94595	6.29825	5.12971	6.56045	5.23828
251557_at	10.1357	10.0665	10.0242	10.5017	9.8559	10.1034	9.79928
251558_at	6.97229	7.03272	7.26256	6.98909	7.00156	7.08192	7.22269
251559_at	7.26297	9.18777	7.34538	9.06294	7.1456	9.08655	7.40045
251560_at	3.92634	3.53229	3.79651	3.81058	3.79651	3.8359	3.58
251561_at	10.9215	10.463	11.1292	10.6507	10.9229	10.7636	11.1678
251562_at	8.84636	8.59765	8.59765	8.45734	8.64797	8.48269	8.59765
251563_at	8.99345	6.42377	8.6784	6.45903	8.8145	6.46173	8.50848
251564_at	4.9505	4.74353	4.68966	4.52835	4.60324	4.60324	4.57219
251565_at	3.65742	3.53117	3.53117	3.49284	3.53635	3.36788	3.53117
251566_at	3.08676	2.99052	3.12593	3.10859	3.01226	3.12593	3.07942
251567_at	3.92039	3.85187	3.84583	3.81297	3.85187	3.91754	3.85187
251568_at	3.3875	3.38574	3.32789	3.3875	3.3875	3.55003	3.34794
251569_at	4.01437	3.429	3.78351	3.38664	3.78351	3.85244	3.84887
251570_at	3.44332	3.44332	3.58325	3.3401	3.44332	3.19657	3.63117
251571_at	3.41917	3.33267	3.31514	3.33199	3.5826	3.35241	3.35241
251572_at	3.45321	3.34331	3.35688	3.12961	3.2863	3.34331	3.34331
251573_at	8.34811	9.70091	8.26943	9.89532	8.25081	9.79959	8.31983
251574_at	4.58677	5.05079	4.41518	5.05074	4.52791	5.09577	4.68157
251575_at	4.0831	5.98974	4.53372	6.93673	3.92369	5.93071	4.97624
251576_at	3.41917	3.59109	3.70259	3.58957	3.58957	3.77831	3.42334
251577_at	3.26938	3.25961	3.37528	3.24336	3.01929	3.37846	3.24336
251578_at	8.98278	7.63665	8.71009	7.91761	8.81091	7.50046	8.61701
251579_at	8.44306	8.49202	8.52785	8.43509	8.71307	8.28392	8.59271
251580_at	4.74798	4.32016	4.32016	4.22232	4.41361	4.16801	4.25862
251581_at	8.65732	9.15277	8.45388	9.15092	8.34132	9.10182	8.42416
251582_at	6.70653	7.10915	6.59472	6.76988	6.45546	7.36201	6.47904
251583_at	4.24157	3.74343	4.18031	4.09268	4.23518	4.01887	4.18031
251584_at	6.70107	5.03656	6.77432	5.01947	6.31257	5.24847	6.82836
251585_at	7.04063	5.13414	6.8391	5.20631	6.85131	5.38288	6.68361
251586_at	5.23459	5.83901	4.81201	6.77397	4.66422	6.19088	4.69074
251587_at	4.45678	4.53153	4.27763	4.09451	4.24629	4.27763	4.20905
251588_at	3.46207	4.71863	3.31858	4.63281	3.46352	4.87603	3.63146
251589_at	8.79891	7.3744	8.64784	7.21943	8.56664	7.43363	8.60975
251590_at	7.0273	6.90501	6.79056	6.79584	6.99863	7.22956	6.7322
251591_at	4.83145	5.36366	4.59583	4.84015	4.55785	5.0151	4.71261
251592_at	3.59414	3.39777	3.19919	3.33877	3.27037	3.5112	3.31132
251593_at	7.53766	6.4566	7.15813	6.29023	7.08875	6.49551	7.07417
251594_at	7.67379	7.37365	7.67379	7.82318	7.60565	7.51271	7.7109
251595_at	3.31382	3.60118	3.66405	3.46207	3.64668	3.50699	3.42878
251596_at	9.08464	9.08464	9.13897	9.08464	8.86951	9.34736	8.97667
251597_at	7.44613	6.64616	7.59059	6.89203	7.42189	6.71216	7.21113
251598_at	4.11586	4.15556	4.06511	4.67429	4.02414	4.15556	4.15556
251599_at	9.29523	10.2574	9.10531	10.5444	9.23211	10.2911	9.23747
251600_at	6.15074	5.7881	6.18192	6.15074	6.68361	6.04096	6.19733
251601_at	6.38792	6.57977	6.26594	6.71862	6.33743	6.88465	6.31868
251602_at	8.03037	8.25265	7.88062	8.85566	7.97691	8.61909	8.00298
251603_at	7.20408	4.13127	7.76764	3.98509	7.66769	4.6182	7.73296
251604_at	3.16909	3.16909	3.16419	3.30986	3.16997	3.16909	3.16909
251605_at	3.89088	4.23457	3.75568	4.7352	3.89088	4.16707	3.40797
251606_at	3.52841	3.35987	3.35987	3.35688	3.40552	3.25672	3.35987
251607_at	3.31927	3.22921	3.26622	3.22921	3.22921	3.16258	3.15178
251608_at	3.80319	3.7782	3.90796	3.74611	3.69874	3.84897	3.71106
251609_at	3.19956	2.85216	2.96018	2.9858	2.96018	2.96018	2.96018
251610_at	4.26688	4.53852	4.83786	4.49441	4.34891	4.76627	4.97624
251611_at	5.97874	6.02027	5.78716	6.24536	5.63887	6.31364	5.72453
251612_at	3.19474	3.23405	3.19474	3.23601	3.1039	3.19474	3.13029
251613_at	3.58483	3.55653	3.56331	3.56331	3.56734	3.56331	3.57905
251614_at	3.42371	3.29247	3.3875	3.13825	3.3875	3.3875	3.3875
251615_at	4.24157	4.24157	4.24102	4.2014	4.24157	4.50804	4.16521
251616_at	7.66697	8.33203	7.72428	8.39812	7.76965	8.27336	7.69295
251617_at	3.41917	3.24306	3.37338	3.39084	3.37869	3.30382	3.23738
251618_at	3.1713	3.40601	3.56825	3.30803	3.44483	3.48043	3.40601
251619_at	7.87683	6.87677	7.77993	7.09711	7.75804	6.98977	7.72453
251620_at	3.51392	3.54118	3.56867	3.34702	3.4283	3.4787	3.51392
251621_at	3.63862	4.15255	3.98048	5.55056	3.84074	4.46352	4.13028
251622_at	8.77289	7.44647	8.34103	7.63758	8.44807	7.59398	8.20815
251623_at	7.44399	5.81598	7.5253	5.32544	7.41228	5.85671	7.31617
251624_at	10.8494	9.06541	10.5598	9.0475	10.6145	9.30309	10.4708
251625_at	5.58879	12.0042	7.0877	11.6164	5.69243	11.8209	7.24011
251626_at	6.29617	6.29617	6.24663	6.38693	6.18694	6.44454	6.29617
251627_at	3.85788	3.65203	3.65203	3.56331	3.65745	3.59253	3.65203
251628_at	9.97951	10.0362	9.93231	10.0378	9.82555	10.0928	9.7932
251629_at	7.77991	7.53942	7.85356	7.6801	7.86971	7.62461	7.87337
251630_at	5.86518	6.42342	5.83895	6.75781	5.79517	6.5382	5.93221
251631_at	4.40609	4.52725	4.46277	5.4733	4.4578	4.40197	4.5427
251632_at	4.24157	3.98713	4.26694	3.78202	4.12678	3.86036	4.3447
251633_at	4.27133	4.65073	4.2955	5.46476	4.17065	4.49229	4.44891
251634_at	7.57061	6.89529	7.42005	7.22547	7.67128	6.92849	7.74872
251635_at	2.92732	3.16921	3.16235	3.16235	3.16235	3.04369	3.30176
251636_at	9.97551	8.04686	10.6037	7.60728	10.2944	7.83068	10.5878
251637_at	6.29673	6.4975	6.04712	6.47128	6.10722	6.74331	6.29673
251638_at	6.32327	7.07344	6.46664	7.65238	6.75021	6.92031	6.56689
251639_at	8.40617	8.34338	8.18137	8.71261	8.38544	8.34723	8.18279
251640_at	10.8076	6.79747	10.7288	7.79551	11.1776	7.08392	10.8842
